Year,Sector Economico,Codigo de Producto,Producto,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,TOTAL
2024,Total PRODUCTOS TRADICIONALES,7802000000,"DESPERDICIOS Y DESECHOS, DE PLOMO.",78482.6,0,0,0,0,0,0,0,0,0,0,0,78482.6
2024,Total PRODUCTOS TRADICIONALES,2711120000,"GAS PROPANO, LICUADO",37378.77,0,38906.69,0,0,0,0,0,0,0,0,0,76285.46
2024,Total PRODUCTOS TRADICIONALES,901212000,"CAFE TOSTADO, SIN DESCAFEINAR, MOLIDO",23105.13,34359.534,14699.71,0,0,0,0,0,0,0,0,0,72164.374
2024,Total PRODUCTOS TRADICIONALES,8112690019,"LOS DEMÁS DE CADMIO EN BRUTO, POLVO",23773.77,0,0,0,0,0,0,0,0,0,0,0,23773.77
2024,Total OTROS 1/,2710193800,OTROS ACEITES LUBRICANTES,362893.75,408336.071,182858.44,0,0,0,0,0,0,0,0,0,954088.261
2024,Total OTROS 1/,3210001000,PINTURAS MARINAS ANTICORROSIVAS Y ANTIINCRUSTANTES,11298.47,36569.72,45775.49,0,0,0,0,0,0,0,0,0,93643.68
2024,Total OTROS 1/,303540000,"CABALLAS CONGELADAS, EXCEPTO HIGADOS, HUEVAS Y LECHAS",26250,30186,35640,0,0,0,0,0,0,0,0,0,92076
2024,Total OTROS 1/,402999000,"LAS DEMAS LECHES Y NATAS, CONCENTRADAS O CON ADICION DE AZUCAR U OTRO EDULCORANTE",43326.53,0,0,0,0,0,0,0,0,0,0,0,43326.53
2024,Total OTROS 1/,1516200000,"GRASAS Y ACEITES, VEGETALES, Y SUS FRACCIONES, PARCIAL O TOTALMENTE HIDROGENADOS",42405.6,0,0,0,0,0,0,0,0,0,0,0,42405.6
2024,Total OTROS 1/,2201900010,AGUA SIN GASEAR,13452.96,17862.6,0,0,0,0,0,0,0,0,0,0,31315.56
2024,Total OTROS 1/,202300090,"CARNE DESHUESADA DE BOVINO, CONGELADA, EXCEPTO EN CORTES FINOS",29738.5,0,0,0,0,0,0,0,0,0,0,0,29738.5
2024,Total OTROS 1/,805220000,DEMAS CLEMENTINAS. WILKINGS E HIBRIDOS SIMILARES DE AGRIOS(CITRICOS) FRECOS O SECOS,27386.5,0,0,0,0,0,0,0,0,0,0,0,27386.5
2024,Total OTROS 1/,2203000000,CERVEZA DE MALTA.,13271.59,12588,0,0,0,0,0,0,0,0,0,0,25859.59
2024,Total OTROS 1/,807190000,MELONES FRESCOS,17283.51,0,0,0,0,0,0,0,0,0,0,0,17283.51
2024,Total OTROS 1/,703100000,"CEBOLLAS Y CHALOTES, FRESCOS O REFRIGERADOS",17064.99,0,0,0,0,0,0,0,0,0,0,0,17064.99
2024,Total OTROS 1/,2710193400,GRASAS LUBRICANTES,5524.16,10308.549,0,0,0,0,0,0,0,0,0,0,15832.709
2024,Total OTROS 1/,805100000,"NARANJAS , FRESCAS O SECAS",12437.17,0,0,0,0,0,0,0,0,0,0,0,12437.17
2024,Total OTROS 1/,406909000,"QUESO C/ CONT. HUMEDAD >=69% EN PESO, CALCULADO SOBRE BASE TOTALMENTE DESGRASADA",7686.99,4382.37,0,0,0,0,0,0,0,0,0,0,12069.36
2024,Total OTROS 1/,710100000,"PAPAS (PATATAS), AUNQUE ESTEN COCIDAS EN AGUA O VAPOR, CONGELADAS",8957.93,0,0,0,0,0,0,0,0,0,0,0,8957.93
2024,Total OTROS 1/,702000000,TOMATES FRESCOS O REFRIGERADOS.,8714.76,0,0,0,0,0,0,0,0,0,0,0,8714.76
2024,Total OTROS 1/,1515190000,"ACEITE DE LINO Y SUS FRACCIONES, REFINADO PERO SIN MODIFICAR QUIMICAMENTE",8653.43,0,0,0,0,0,0,0,0,0,0,0,8653.43
2024,Total OTROS 1/,2105009000,"DEMAS HELADOS, INCLUSO CON CACAO",7637.94,0,0,0,0,0,0,0,0,0,0,0,7637.94
